
Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	Irons
1	HUJI A		1st	1st	2nd	1st	3rd	1st	1st	1st	1st	24	1465	7	1	0
2	Sofia A	ESL	1st	1st	1st	3rd	2nd	1st	1st	4th	1st	21	1469	6	1	0
3	UNWE A	ESL	1st	3rd	1st	2nd	4th	1st	1st	1st	2nd	20	1465	5	2	0
4	Oxford D		1st	1st	1st	1st	1st	4th	3rd	3rd	1st	20	1458	6	0	0
5	TCD Hist PW		1st	1st	2nd	2nd	1st	2nd	2nd	2nd	3rd	20	1454	3	5	0
6	OpenU A		1st	1st	1st	2nd	2nd	1st	4th	2nd	2nd	20	1447	4	4	0
7	Oxford C		2nd	1st	2nd	2nd	1st	2nd	2nd	3rd	1st	20	1442	3	5	0
8	Oxford A		3rd	1st	1st	1st	3rd	1st	2nd	2nd	3rd	19	1457	4	2	0
9	Bucharest A	ESL	1st	1st	3rd	2nd	2nd	4th	1st	1st	2nd	19	1443	4	3	0
10	Technion A	ESL	1st	2nd	2nd	3rd	2nd	3rd	1st	1st	2nd	19	1437	3	4	0
11	Tel Aviv A	ESL	1st	3rd	1st	1st	4th	1st	1st	1st	4th	19	1435	6	0	0
12	UCD L&amp;H A		1st	2nd	2nd	1st	3rd	2nd	1st	4th	1st	19	1432	4	3	0
13	Oxford F		2nd	1st	4th	1st	3rd	1st	1st	1st	4th	18	1444	5	1	0
14	Belgrade A	ESL	2nd	1st	2nd	1st	4th	3rd	3rd	1st	1st	18	1444	4	2	0
15	Zagreb B	ESL	1st	2nd	1st	2nd	1st	3rd	3rd	2nd	3rd	18	1444	3	3	0
16	Belgrade B	ESL	1st	2nd	1st	4th	1st	4th	1st	3rd	1st	18	1442	5	1	0
17	Zagreb A	ESL	1st	1st	2nd	4th	1st	2nd	4th	1st	2nd	18	1435	4	3	0
18	Cambridge C		2nd	3rd	1st	1st	2nd	3rd	1st	4th	1st	18	1424	4	2	0
19	Oxford B		1st	2nd	3rd	3rd	1st	1st	4th	2nd	2nd	17	1445	3	3	0
20	LSE A		1st	3rd	2nd	2nd	2nd	1st	3rd	2nd	3rd	17	1431	2	4	0
21	Weizmann A	ESL	1st	2nd	3rd	1st	2nd	2nd	2nd	3rd	3rd	17	1419	2	4	0
22	EUDU SW		2nd	2nd	3rd	1st	2nd	2nd	2nd	4th	1st	17	1416	2	5	0
23	KCL B		2nd	3rd	2nd	2nd	3rd	1st	3rd	2nd	1st	17	1414	2	4	0
24	LSE C	ESL	3rd	1st	2nd	1st	4th	2nd	4th	1st	1st	17	1412	4	2	0
25	Berlin A	ESL	3rd	2nd	2nd	2nd	1st	4th	1st	2nd	2nd	17	1402	2	5	0
26	Oxford E		4th	1st	2nd	4th	1st	2nd	2nd	1st	2nd	17	1401	3	4	0
27	EUDU MS		1st	4th	4th	1st	1st	3rd	3rd	1st	1st	17	1389	5	0	0
28	St Andrews A		3rd	1st	2nd	1st	1st	4th	3rd	2nd	3rd	16	1435	3	2	0
29	Zagreb C	ESL	2nd	1st	1st	3rd	1st	3rd	3rd	2nd	4th	16	1425	3	2	0
30	Belgrade D	ESL	2nd	2nd	1st	4th	3rd	1st	2nd	1st	4th	16	1424	3	3	0
31	Belgrade C	ESL	2nd	1st	4th	4th	2nd	1st	1st	1st	4th	16	1414	4	2	0
32	Ljubljana A	ESL	3rd	2nd	1st	1st	3rd	4th	3rd	2nd	1st	16	1414	3	2	0
33	Sciences Po A	ESL	1st	2nd	3rd	4th	2nd	3rd	1st	1st	3rd	16	1410	3	2	0
34	GUU A		1st	1st	3rd	3rd	1st	3rd	2nd	3rd	3rd	16	1403	3	1	0
35	HUJI B	ESL	2nd	1st	4th	2nd	2nd	2nd	2nd	3rd	2nd	16	1402	1	6	0
36	EUDU DM		3rd	4th	1st	1st	3rd	1st	2nd	4th	1st	16	1400	4	1	0
37	ASDV Bonaparte A	ESL	2nd	2nd	4th	1st	4th	2nd	3rd	1st	1st	16	1399	3	3	0
38	Imperial B		2nd	2nd	1st	4th	1st	2nd	3rd	3rd	2nd	16	1399	2	4	0
39	DK Wien B	ESL	3rd	1st	1st	4th	4th	2nd	2nd	2nd	1st	16	1392	3	3	0
40	TCD Hist CF		2nd	4th	1st	3rd	1st	1st	4th	2nd	2nd	16	1389	3	3	0
41	Technion C	ESL	3rd	1st	3rd	4th	3rd	1st	2nd	2nd	1st	16	1376	3	2	0
42	Technion B	ESL	1st	3rd	1st	3rd	1st	1st	4th	3rd	4th	15	1439	4	0	0
43	UCL A		2nd	3rd	1st	3rd	3rd	1st	1st	4th	3rd	15	1418	3	1	0
44	UCD L&amp;H B		2nd	3rd	1st	2nd	2nd	3rd	4th	1st	3rd	15	1417	2	3	0
