
Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	3rds	Irons
1	Sydney C		1st	1st	1st	2nd	1st	3rd	2nd	1st	1st	23	1501	6	2	1	0
2	Dartmouth A		1st	2nd	1st	1st	3rd	1st	1st	2nd	2nd	22	1489	5	3	1	0
3	Stanford A		1st	1st	1st	1st	2nd	1st	3rd	4th	1st	21	1487	6	1	1	0
4	Oxford A		1st	1st	1st	3rd	4th	2nd	1st	1st	1st	21	1481	6	1	1	0
5	Sydney B		1st	1st	3rd	1st	2nd	2nd	1st	1st	4th	20	1496	5	2	1	0
6	UNSW A		1st	2nd	1st	2nd	1st	2nd	2nd	2nd	3rd	20	1485	3	5	1	0
7	Sydney A		2nd	1st	1st	1st	4th	3rd	1st	1st	2nd	20	1480	5	2	1	0
8	OpenU A	ESL	1st	4th	1st	1st	2nd	1st	3rd	2nd	2nd	19	1484	4	3	1	0
9	Oxford C		1st	1st	3rd	1st	1st	3rd	1st	3rd	3rd	19	1469	5	0	4	0
10	Sydney G		1st	2nd	2nd	1st	3rd	2nd	3rd	2nd	1st	19	1461	3	4	2	0
11	Harvard A		2nd	1st	2nd	3rd	1st	4th	2nd	1st	1st	19	1459	4	3	1	0
12	McGill C		1st	1st	4th	2nd	1st	1st	2nd	4th	1st	19	1455	5	2	0	0
13	PDP D		2nd	1st	2nd	3rd	1st	1st	3rd	2nd	2nd	19	1454	3	4	2	0
14	Bates A		1st	3rd	2nd	1st	3rd	2nd	2nd	1st	2nd	19	1445	3	4	2	0
15	Sydney E		1st	1st	4th	3rd	1st	4th	1st	1st	1st	19	1432	6	0	1	0
16	Manchester A		1st	1st	1st	4th	1st	4th	4th	1st	1st	18	1468	6	0	0	0
17	Zagreb A	ESL, EFL	1st	3rd	1st	1st	3rd	4th	1st	1st	3rd	18	1467	5	0	3	0
18	Tokyo A	ESL	1st	3rd	2nd	1st	2nd	3rd	2nd	2nd	2nd	18	1466	2	5	2	0
19	UChicago B		1st	1st	2nd	3rd	2nd	2nd	1st	3rd	3rd	18	1458	3	3	3	0
20	Sydney H		3rd	1st	1st	1st	2nd	3rd	1st	4th	2nd	18	1443	4	2	2	0
21	UChicago A		1st	2nd	1st	4th	3rd	2nd	3rd	1st	1st	18	1437	4	2	2	0
22	KCL A		2nd	3rd	1st	2nd	2nd	1st	2nd	1st	4th	18	1431	3	4	1	0
23	UNSW B		3rd	2nd	3rd	1st	1st	3rd	3rd	1st	1st	18	1422	4	1	4	0
24	ADS Gold		1st	1st	2nd	4th	1st	2nd	2nd	4th	1st	18	1407	4	3	0	0
25	Sydney D		1st	3rd	1st	2nd	3rd	1st	2nd	2nd	4th	17	1452	3	3	2	0
26	Columbia A		2nd	1st	2nd	2nd	1st	1st	4th	3rd	3rd	17	1450	3	3	2	0
27	DSB A		2nd	2nd	1st	4th	1st	2nd	3rd	2nd	2nd	17	1447	2	5	1	0
28	Sydney F		2nd	1st	3rd	1st	3rd	3rd	3rd	2nd	1st	17	1445	3	2	4	0
29	TCD Phil A		4th	1st	1st	1st	1st	4th	3rd	3rd	1st	17	1437	5	0	2	0
30	EUDU A		4th	1st	1st	2nd	4th	2nd	1st	3rd	1st	17	1437	4	2	1	0
31=	UPenn A		1st	3rd	3rd	1st	3rd	4th	1st	1st	2nd	17	1437	4	1	3	0
31=	UPenn B		3rd	1st	2nd	3rd	3rd	1st	1st	4th	1st	17	1437	4	1	3	0
33	Oxford E		2nd	1st	4th	2nd	1st	1st	4th	1st	3rd	17	1435	4	2	1	0
34	Oxford D		2nd	2nd	1st	4th	3rd	1st	1st	1st	4th	17	1433	4	2	1	0
35	UPenn C		1st	2nd	2nd	3rd	4th	1st	1st	2nd	3rd	17	1432	3	3	2	0
36	Technion A	ESL	1st	3rd	1st	1st	1st	4th	1st	3rd	4th	17	1425	5	0	2	0
37	Oxford B		1st	2nd	4th	1st	2nd	3rd	2nd	2nd	2nd	17	1416	2	5	1	0
38	LSE A		3rd	1st	1st	2nd	4th	3rd	2nd	2nd	1st	17	1415	3	3	2	0
