
Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	Pts	Spk	1sts	2nds
1	MWBD		2nd	2nd	1st	1st	1st	2nd	1st	18	1133	4	3
2	Table L is the Best L		1st	1st	3rd	1st	2nd	2nd	1st	17	1125	4	2
3	Hammering Yall&#x27;s Epistemics		1st	1st	2nd	1st	1st	4th	1st	17	1112	5	1
4	Ateneo BC		2nd	1st	1st	1st	2nd	3rd	2nd	16	1134	3	3
5	UPD GL		1st	2nd	1st	2nd	1st	1st	4th	16	1128	4	2
6	Girlboos	High School	2nd	1st	3rd	1st	1st	1st	3rd	16	1109	4	1
7	1.5 Malaysians		1st	4th	1st	1st	1st	2nd	2nd	16	1106	4	2
8	TC DBSK		3rd	1st	1st	4th	1st	1st	1st	16	1105	5	0
9	NUS LT		1st	1st	2nd	2nd	2nd	4th	1st	15	1122	3	3
10	I Ordered Affogato and They Gave Me		1st	1st	2nd	4th	1st	3rd	1st	15	1118	4	1
11	Benchwarmers	High School	1st	4th	1st	2nd	2nd	2nd	1st	15	1109	3	3
12	21 Chump Street		2nd	1st	1st	2nd	3rd	1st	3rd	15	1108	3	2
13	rawr		1st	3rd	2nd	2nd	2nd	1st	2nd	15	1099	2	4
14	DAV Jagerbomb		1st	3rd	4th	1st	2nd	1st	1st	15	1084	4	1
15	Making questionable decisions every		1st	2nd	3rd	1st	3rd	1st	3rd	14	1110	3	1
16	Cat grill friend		1st	1st	1st	1st	3rd	3rd	4th	14	1109	4	0
17	CWSDC MA	High School	2nd	1st	2nd	1st	3rd	3rd	2nd	14	1109	2	3
18	Zagreb A(lternate Universe)		1st	2nd	2nd	3rd	4th	1st	1st	14	1106	3	2
19	Korea-Japan Collab in Europe		1st	3rd	1st	2nd	4th	1st	2nd	14	1096	3	2
20	Me When	High School	1st	3rd	3rd	1st	1st	1st	4th	14	1094	4	0
21	UZ	High School	4th	1st	2nd	2nd	2nd	2nd	1st	14	1094	2	4
22	Blissful New World	High School	1st	1st	4th	1st	3rd	1st	3rd	14	1088	4	0
23	we know what you posted on facebook	High School	3rd	2nd	4th	1st	1st	2nd	1st	14	1087	3	2
24	No Sleep Schedule		2nd	1st	1st	3rd	4th	1st	2nd	14	1084	3	2
25	CWSDC BC	High School	2nd	1st	2nd	2nd	2nd	4th	2nd	13	1109	1	5
26	Malaysia Midnights		1st	1st	1st	3rd	4th	3rd	2nd	13	1106	3	1
27	CWSDC HK	High School	2nd	2nd	1st	4th	2nd	3rd	1st	13	1102	2	3
28	2 Parks 0 Professors		1st	2nd	1st	4th	3rd	1st	3rd	13	1100	3	1
29	Lil K &amp; Shawty	High School	1st	1st	4th	4th	3rd	1st	1st	13	1098	4	0
30	Osaka A		1st	1st	4th	2nd	2nd	4th	1st	13	1098	3	2
31	I Draw the Line at Incels	High School	2nd	1st	2nd	4th	1st	2nd	3rd	13	1098	2	3
32	Swirling darkness		2nd	1st	4th	3rd	1st	2nd	2nd	13	1095	2	3
33	feminisht princhessus	High School	4th	1st	1st	3rd	1st	2nd	3rd	13	1092	3	1
34	Hsejar	High School	2nd	3rd	3rd	1st	1st	4th	1st	13	1091	3	1
35	prowlin pogchamp	High School	1st	2nd	3rd	1st	2nd	2nd	4th	13	1090	2	3
36	Pls have mercy on us	High School	3rd	2nd	2nd	1st	1st	4th	2nd	13	1081	2	3
37	CWSDC AJ	High School	2nd	2nd	4th	2nd	2nd	1st	2nd	13	1079	1	5
38	Unbroke	High School	4th	2nd	3rd	1st	2nd	2nd	1st	13	1075	2	3
39	This Shanghainese get Shanghai&#x27;ed t		2nd	2nd	2nd	2nd	3rd	1st	4th	12	1107	1	4
40	rampage	High School	1st	2nd	3rd	4th	1st	2nd	3rd	12	1094	2	2
41	bmarin kitagawa	High School	3rd	1st	2nd	2nd	1st	3rd	4th	12	1093	2	2
42	Kandyland	High School	1st	4th	1st	3rd	1st	2nd	4th	12	1091	3	1
43	muffins are sad cupcakes	High School	2nd	2nd	2nd	4th	1st	1st	4th	12	1090	2	3
44	Still Life 1487	High School	2nd	3rd	1st	2nd	4th	1st	3rd	12	1090	2	2
45	CWSDC AV	High School	1st	3rd	3rd	1st	2nd	3rd	3rd	12	1090	2	1
46	Malaysia 1989		3rd	2nd	2nd	4th	1st	1st	3rd	12	1089	2	2
47	CWSDC AT	High School	1st	3rd	1st	4th	3rd	3rd	1st	12	1088	3	0
48	You know what	High School	1st	2nd	4th	3rd	3rd	1st	2nd	12	1083	2	2
49	Forda compete ang fersons		2nd	2nd	2nd	3rd	3rd	3rd	1st	12	1083	1	3
50	Mga Bading		2nd	3rd	3rd	1st	3rd	3rd	1st	12	1082	2	1
51	SUFE 1		1st	4th	3rd	2nd	1st	4th	1st	12	1080	3	1
52	Not Breaking Not Broken	High School	4th	1st	1st	1st	4th	3rd	2nd	12	1079	3	1
53	won&#x27;t be there for roll call		3rd	1st	3rd	1st	3rd	3rd	2nd	12	1079	2	1
54	Should&#x27;ve Broke Second	High School	3rd	1st	4th	1st	3rd	3rd	1st	12	1078	3	0
55	CWSDC Vanderbilt		2nd	4th	2nd	4th	1st	1st	2nd	12	1076	2	3
56	Defenestrators	High School	3rd	2nd	3rd	2nd	3rd	2nd	1st	12	1076	1	3
57	disaPOIntment		1st	3rd	4th	1st	4th	1st	2nd	12	1075	3	1
58	NUS TD		1st	1st	3rd	3rd	4th	2nd	3rd	11	1105	2	1
59	Cat Transformers		2nd	2nd	1st	2nd	4th	3rd	3rd	11	1096	1	3
60	We don&#x27;t have a 2nd speaker so we m		1st	4th	1st	3rd	1st	3rd	4th	11	1093	3	0
61	THBT	High School	2nd	2nd	2nd	3rd	4th	1st	3rd	11	1089	1	3
62	Can&#x27;t stop coming ............to de		3rd	1st	3rd	4th	1st	3rd	2nd	11	1088	2	1
63	Ronaldo Suwi	High School	2nd	2nd	1st	3rd	4th	3rd	2nd	11	1087	1	3
64	AC	High School	3rd	1st	3rd	1st	1st	4th	4th	11	1085	3	0
65	Panic pandas		2nd	3rd	2nd	2nd	2nd	2nd	4th	11	1084	0	5
66	YNC QC		2nd	3rd	2nd	1st	4th	2nd	3rd	11	1082	1	3
67	SYDO	High School	2nd	3rd	3rd	2nd	4th	1st	2nd	11	1076	1	3
68	Father Bostan	High School	4th	2nd	2nd	2nd	2nd	4th	1st	11	1071	1	4
69	Small smoked fish &amp; Morgan Stanley 		1st	3rd	4th	4th	1st	3rd	1st	11	1070	3	0
70	QUEENS	High School	3rd	2nd	3rd	1st	3rd	2nd	3rd	11	1070	1	2
71	CWSDC GA	High School	2nd	4th	1st	2nd	3rd	4th	1st	11	1068	2	2
72	A Heartbroken dude and a Stressed g	High School	4th	1st	4th	3rd	3rd	1st	1st	11	1065	3	0
73	shipping is happiness		4th	3rd	2nd	1st	1st	4th	2nd	11	1061	2	2
74	PEANUTS GA SUKI	High School	3rd	2nd	1st	4th	3rd	2nd	3rd	10	1087	1	2
75	Rick Gave Us Up (because we are bro	High School	3rd	1st	1st	3rd	2nd	4th	4th	10	1083	2	1
76	Bear		1st	3rd	4th	2nd	2nd	2nd	4th	10	1083	1	3
77	What We Got		4th	2nd	2nd	3rd	2nd	2nd	3rd	10	1083	0	4
