
Rk	team	categories	R1	R2	R3	R4	R5	R6	Pts	Spk	1sts	2nds	DS
1	Team Australia		1st	1st	1st	1st	2nd	1st	17	974	5	1	228
2=	Shanghai Oreo		1st	1st	1st	3rd	1st	2nd	15	956	4	1	217
2=	Team Africa		1st	1st	2nd	1st	1st	3rd	15	956	4	1	225
4	We&#x27;re not invited		1st	1st	1st	2nd	3rd	1st	15	951	4	1	219
5	CW KH	Over 16	2nd	1st	2nd	1st	2nd	2nd	14	949	2	4	226
6	Mmmmm, K	Over 16	4th	1st	1st	1st	2nd	1st	14	935	4	1	187
7	Smart is just an Adjective to descr		2nd	3rd	1st	1st	2nd	1st	14	933	3	2	194
8	Mario flower	Over 16	2nd	1st	4th	1st	1st	1st	14	927	4	1	184
9	Mchua A		2nd	2nd	1st	1st	1st	4th	13	951	3	2	216
10	CW BV	Over 16	1st	2nd	1st	1st	4th	2nd	13	950	3	2	204
11	CW AB	Over 16	1st	3rd	1st	2nd	3rd	1st	13	937	3	1	201
12	Nova MT		1st	1st	2nd	2nd	3rd	2nd	13	936	2	3	222
13	CW TG	Over 16	1st	1st	3rd	1st	4th	1st	13	934	4	0	192
14	RSG Sapphire		2nd	1st	1st	3rd	1st	3rd	13	934	3	1	196
15	Charli XCX? We are Careless XXX		1st	4th	2nd	1st	2nd	1st	13	927	3	2	186
16	Capstone AJ	Over 16	2nd	1st	3rd	1st	1st	3rd	13	926	3	1	195
17	SUFE A		2nd	2nd	1st	3rd	1st	2nd	13	926	2	3	188
18	guava	Under 16	4th	1st	1st	3rd	1st	1st	13	921	4	0	176
19	CW CK	Under 16	1st	2nd	2nd	1st	2nd	4th	12	940	2	3	194
20	CW CS	Over 16	1st	3rd	1st	2nd	4th	1st	12	936	3	1	187
21	Carelle		1st	1st	4th	2nd	1st	3rd	12	935	3	1	188
22	CW AI	Over 16	1st	2nd	3rd	3rd	2nd	1st	12	935	2	2	182
23	CW AE	Over 16	2nd	4th	1st	2nd	1st	2nd	12	933	2	3	170
24	CW YM	Over 16	1st	1st	3rd	2nd	4th	1st	12	928	3	1	199
25	Schrodingers arguments	Over 16	1st	2nd	4th	2nd	2nd	1st	12	919	2	3	195
26	RSG Gold	Under 16	4th	1st	2nd	2nd	1st	2nd	12	914	2	3	174
27	Xiao Bai		1st	3rd	2nd	2nd	2nd	3rd	11	946	1	3	191
28	CW RC	Over 16	1st	4th	1st	2nd	4th	1st	11	936	3	1	167
29	XxNoBossJustHacksxX	Over 16	3rd	1st	2nd	4th	1st	2nd	11	929	2	2	172
30	CityUHK A		3rd	1st	3rd	1st	3rd	2nd	11	929	2	1	190
31	Mr Hobo		2nd	1st	1st	4th	1st	4th	11	927	3	1	203
32	LOZO JAYJAY	Over 16	2nd	2nd	3rd	1st	1st	4th	11	926	2	2	184
33	Enemies to partners		1st	4th	2nd	2nd	2nd	2nd	11	925	1	4	182
34	LOZO - Wait Please No	Under 16	3rd	2nd	2nd	2nd	3rd	1st	11	925	1	3	169
35	XxNoHacksJustBossxX	Over 16	3rd	2nd	1st	4th	1st	2nd	11	924	2	2	174
36	Madam Chair, the Global Poor	Over 16	4th	2nd	1st	1st	4th	1st	11	923	3	1	174
37=	PLKC A	Over 16	2nd	2nd	1st	4th	3rd	1st	11	921	2	2	184
37=	Everlasting Passion		1st	2nd	3rd	2nd	4th	1st	11	921	2	2	184
39	CW JB	Under 16	1st	4th	2nd	2nd	1st	3rd	11	920	2	2	172
40	Blue Sky Kindergarten	Over 16	3rd	4th	1st	1st	2nd	2nd	11	919	2	2	166
41	This is a wug		2nd	3rd	1st	3rd	1st	3rd	11	917	2	1	162
42	Chocolate taco	Under 16	2nd	2nd	1st	4th	2nd	2nd	11	917	1	4	167
43	Oriental Alchemists		3rd	1st	4th	1st	1st	3rd	11	911	3	0	165
44	DKU are you sober?		3rd	3rd	1st	4th	1st	1st	11	908	3	0	143
45	CW LL	Over 16	1st	2nd	1st	4th	3rd	3rd	10	946	2	1	212
46	CW JH	Over 16	1st	3rd	2nd	1st	3rd	4th	10	935	2	1	189
47	We don’t have a 1st speaker	Over 16	4th	2nd	1st	3rd	1st	3rd	10	932	2	1	167
48	CW JI	Under 16	1st	2nd	2nd	3rd	2nd	4th	10	932	1	3	198
49	CW MG	Over 16	1st	1st	3rd	3rd	3rd	3rd	10	931	2	0	208
50	strawberry	Under 16	1st	2nd	2nd	2nd	3rd	4th	10	930	1	3	187
51=	CW AC	Over 16	3rd	1st	1st	3rd	2nd	4th	10	928	2	1	187
51=	CW TP	Under 16	1st	2nd	4th	3rd	3rd	1st	10	928	2	1	164
53	Name Pending（Please Hold）		2nd	1st	2nd	3rd	2nd	4th	10	927	1	3	180
54	CW ME	Over 16	2nd	1st	3rd	3rd	3rd	2nd	10	927	1	2	178
55	very mindful, very demure	Over 16	2nd	1st	2nd	4th	4th	1st	10	916	2	2	176
56	Two unprofessional dancers		4th	3rd	2nd	3rd	1st	1st	10	914	2	1	137
57	CW NK	Under 16	3rd	3rd	2nd	2nd	2nd	2nd	10	914	0	4	155
58	VADP HDPA	Under 14	3rd	2nd	2nd	3rd	3rd	1st	10	913	1	2	140
59=	DKU Chipakam		2nd	3rd	2nd	4th	1st	2nd	10	912	1	3	182
59=	RSG Silver	Under 16	2nd	2nd	4th	1st	3rd	2nd	10	912	1	3	162
61	Bluestone		2nd	2nd	4th	1st	2nd	3rd	10	911	1	3	165
62	CW LJ	Under 16	3rd	3rd	1st	3rd	1st	3rd	10	910	2	0	174
63	Jellycat lovers		2nd	3rd	3rd	1st	3rd	2nd	10	909	1	2	168
64	Swing 250	Under 16	4th	2nd	2nd	3rd	2nd	1st	10	906	1	3	148
65	Nova Basketboy		2nd	3rd	3rd	2nd	2nd	2nd	10	904	0	4	164
66	Tung tung sahur	Under 16	3rd	2nd	1st	3rd	4th	1st	10	893	2	1	161
67	CW SC	Over 16	2nd	2nd	3rd	2nd	4th	2nd	9	926	0	4	192
68	Nova Composites 50% of this team	Over 16	3rd	1st	3rd	1st	3rd	4th	9	923	2	0	184
69	Iphone SE	Under 16	4th	1st	1st	1st	4th	4th	9	921	3	0	167
70	Tung-Oh Go Away!	Under 16	1st	3rd	2nd	4th	1st	4th	9	920	2	1	171
71	GDP 1	Under 16	2nd	1st	4th	4th	2nd	2nd	9	913	1	3	170
72	CW JR	Over 16	1st	4th	2nd	3rd	2nd	3rd	9	913	1	2	161
73	Starberry	Over 16	1st	2nd	3rd	4th	2nd	3rd	9	912	1	2	169
74	Exons	Over 16	2nd	4th	2nd	1st	4th	2nd	9	911	1	3	163
75	Hallabong 2	Under 14	1st	3rd	2nd	2nd	4th	3rd	9	911	1	2	180
76	VADP Double2Tam	Under 14	4th	2nd	2nd	4th	2nd	1st	9	908	1	3	132
77	VADP LN	Under 16	2nd	4th	2nd	1st	3rd	3rd	9	908	1	2	157
78=	CW EK	Under 16	4th	1st	1st	4th	2nd	3rd	9	907	2	1	163
78=	CW MO	Over 16	1st	3rd	4th	2nd	1st	4th	9	907	2	1	166
80	McFlurry	Under 16	4th	4th	1st	1st	4th	1st	9	906	3	0	142
81	November Rain		3rd	4th	1st	3rd	2nd	2nd	9	906	1	2	152
82=	SUFE C		2nd	3rd	4th	2nd	1st	3rd	9	902	1	2	161
82=	JH	Under 16	4th	2nd	3rd	2nd	3rd	1st	9	902	1	2	148
84	DKU Orbis linguam		3rd	2nd	2nd	4th	3rd	1st	9	900	1	2	148
85	I Killed My Duolingo	Under 16	3rd	3rd	4th	1st	2nd	2nd	9	898	1	2	137
86	PLKC B	Over 16	2nd	4th	3rd	4th	1st	1st	9	896	2	1	129
87	One moment	Under 14	1st	1st	4th	4th	3rd	3rd	8	922	2	0	167
88	MUST A		3rd	1st	1st	4th	3rd	4th	8	917	2	0	170
89	Silver Fainted		2nd	3rd	2nd	1st	4th	4th	8	915	1	2	180
90	RSG Red	Under 16	3rd	1st	3rd	3rd	4th	2nd	8	913	1	1	165
91	LOZO - I’ll ask Charlotte	Over 16	1st	3rd	4th	2nd	3rd	3rd	8	910	1	1	179
92	Time is ticking！！！	Under 16	3rd	3rd	2nd	2nd	3rd	3rd	8	910	0	2	145
93	Motion Sickness	Under 16	3rd	1st	4th	2nd	2nd	4th	8	908	1	2	166
94	Patina		1st	3rd	4th	3rd	1st	4th	8	907	2	0	171
95	We Don&#x27;t Like Snares	Under 16	1st	4th	3rd	3rd	2nd	3rd	8	907	1	1	171
96	Autumn Girls	Under 16	3rd	2nd	2nd	4th	2nd	3rd	8	907	0	3	152
97	SUFE B		2nd	2nd	3rd	4th	1st	4th	8	906	1	2	155
98	MUST B		4th	3rd	3rd	1st	4th	1st	8	903	2	0	131
99	Nova Shrimp Tempura	Under 16	4th	2nd	3rd	1st	4th	2nd	8	901	1	2	145
100	Better Up！！！		2nd	4th	3rd	2nd	1st	4th	8	900	1	2	153
101	LOZO - Too busy to reply when Coach	Under 16	3rd	4th	4th	1st	3rd	1st	8	899	2	0	127
102	Nova 4AM	Over 16	4th	1st	4th	2nd	3rd	2nd	8	897	1	2	137
103	LOZO - Trying to remember what we l	Under 16	4th	4th	1st	3rd	3rd	1st	8	893	2	0	125
104	Nova A Leg Splitting Frog	Under 14	4th	4th	3rd	1st	2nd	2nd	8	891	1	2	123
105	Big babies	Under 14	3rd	1st	4th	3rd	3rd	2nd	8	888	1	1	152
106	RSG Diamond	Under 14	4th	3rd	1st	3rd	3rd	2nd	8	883	1	1	126
107	Cutsies Fruties		4th	2nd	—	2nd	3rd	1st	8	755	1	2	101
108	Hallabong 1	Under 16	4th	1st	3rd	1st	4th	4th	7	912	2	0	170
109	B&amp;I	Under 16	3rd	2nd	3rd	2nd	3rd	4th	7	909	0	2	161
110	DKU Waiguo Girls		3rd	2nd	3rd	4th	1st	4th	7	907	1	1	149
111	RSG Emerald	Under 14	2nd	4th	2nd	4th	1st	4th	7	905	1	2	168
112	Tough Love		3rd	3rd	1st	4th	4th	2nd	7	903	1	1	154
113	Whatever	Under 16	1st	4th	3rd	2nd	4th	3rd	7	900	1	1	152
114	Ethan Gao	Under 16	3rd	1st	4th	4th	1st	4th	7	899	2	0	156
115	CW LW	Under 16	3rd	3rd	4th	2nd	4th	1st	7	899	1	1	127
116	Cocacola	Under 14	2nd	4th	4th	2nd	1st	4th	7	898	1	2	136
117	ILoVetEamChina	Under 16	2nd	3rd	4th	3rd	2nd	3rd	7	895	0	2	157
118	Nova Calamari	Under 14	1st	4th	3rd	4th	2nd	3rd	7	892	1	1	156
119	Big Macs	Under 16	3rd	3rd	4th	3rd	1st	3rd	7	892	1	0	136
120	Love and Kindness to Humanity	Under 16	2nd	3rd	4th	1st	4th	3rd	7	891	1	1	156
121	Lex Ultima		4th	4th	4th	2nd	2nd	1st	7	890	1	2	108
122	Lawful Troublemakers		3rd	4th	2nd	4th	2nd	2nd	7	890	0	3	133
123	The Underdogs	Under 16	2nd	3rd	3rd	3rd	4th	2nd	7	890	0	2	149
124	Mocha Chocolate	Under 16	4th	1st	3rd	4th	2nd	3rd	7	888	1	1	129
125	CW EM	Over 16	3rd	4th	2nd	2nd	4th	2nd	7	888	0	3	157
126	Talk That Sheet	Under 14	2nd	4th	3rd	3rd	4th	2nd	6	904	0	2	151
127	Two Little Rizzlers	Under 16	4th	1st	4th	1st	4th	4th	6	900	2	0	147
128	Call It	Under 16	1st	4th	4th	2nd	4th	3rd	6	895	1	1	153
129	U 16	Under 16	3rd	4th	3rd	4th	1st	3rd	6	894	1	0	119
130	LnR	Under 14	3rd	4th	1st	3rd	3rd	4th	6	892	1	0	133
